Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Батюк,Юхим,Яковович,Чоловіча,18-08-1974,Шериф,місто Суходільськ,"провулок Онілової, буд. 625 кв. 2, Бахмач, 43848",839-47-56,erika70@example.net
Дашенко,Левко,Борисович,Чоловіча,23-05-1982,Фізик,село Балаклія,"набережна Зелена гірка, буд. 1, Рогатин, 34694",+380 68 099 60 16,oshutko@example.net
Гречаник,Іван,Яремович,Чоловіча,18-11-1989,Візажист,місто Севастополь,"набережна 11-ша Лінія 6-й ст. Люстдорфської дороги, буд. 00 кв. 5, Бориспіль, 87649",+380 51 853-55-04,nesterenkoiustym@example.com
Бабʼяк,Дан,Пилипович,Чоловіча,18-03-1963,Модель,місто Новий Буг,"узвіз Біржова, буд. 024 кв. 001, Очаків, 21941",734 89 58,panteleimondeineka@example.net
Заруба,Тарас,Арсенович,Чоловіча,18-07-1957,Мірошник,селище Вугледар,"шосе Чорноморський 12-й, буд. 09, Підгайці, 79529",075 124-97-46,yvernyhora@example.com
Мірошниченко,Герман,Богданович,Чоловіча,08-12-1944,Маркетолог,хутір Кипуче,"сквер Місячний, буд. 61 кв. 9, Жовква, 84978",008 558-98-26,rozaliia93@example.com
Андріїшин,Ярослав,Святославович,Чоловіча,24-05-1982,Ґрунтознавець,місто Долина,"узвіз Карпатська, буд. 35 кв. 07, Камінь-Каширський, 29110",+380 28 118 33 89,kyrylo15@example.net
Корбут,Валерій,Юхимович,Чоловіча,17-09-1946,Золотар,хутір Радомишль,"площа Жоліо-Кюрі, буд. 29, Гнівань, 37001",066 63 46,iryna80@example.com
Притула,Єфрем,Максимович,Чоловіча,02-03-1997,Візажист,хутір Золотоноша,"шосе В’ячеслава Чорновола, буд. 051 кв. 32, Христинівка, 58566",453 43 67,nehodazynovii@example.com
Корбут,Тарас,Олександрович,Чоловіча,14-07-1969,Модель,місто Боярка,"шосе Кафедральна, буд. 2, Угнів, 38031",+380 55 285-84-41,uchervonenko@example.org
Затовканюк,Валерій,Амвросійович,Чоловіча,17-04-1993,Вчитель,місто Сорокине,"парк Мацієвської, буд. 2 кв. 4, Вільногірськ, 05634",+380 (75) 642-39-61,ihnat77@example.com
Баран,Ігнат,Ігнатович,Чоловіча,18-01-1992,Юрист,село Свалява,"сквер Миколи Куліша, буд. 3, Горохів, 07113",+380 36 094-45-38,artem18@example.org
Гаврилюк,Хома,Васильович,Чоловіча,16-01-2007,Продюсер,село Яворів,"шосе Віталія Нестеренка, буд. 792, Переяслав, 73947",+380 (83) 831-14-92,albina93@example.com
Ярош,Юстим,Аврелійович,Чоловіча,25-12-1997,Промисловець,хутір Старобільськ,"площа 19-й км Старокиївської дороги, буд. 70, Теребовля, 72453",+380 (73) 053-97-50,mykhailyna52@example.org
Міщенко,Руслан,Григорійович,Чоловіча,24-05-1998,Історик,місто Южноукраїнськ,"шосе Мельницька, буд. 79 кв. 9, Сторожинець, 96337",058 25 47,wbaranets@example.net
Євдокименко,Теодор,Макарович,Чоловіча,29-05-1988,Детектив,селище Біла Церква,"вулиця Чорноморська, буд. 4, Хоростків, 66806",343 34 09,vmykhailiuk@example.org
Гаврилишин,Аарон,Сергійович,Чоловіча,11-08-1977,Агроном,село Новогродівка,"парк Вапняний 1-й, буд. 2, Прилуки, 99761",+380 (91) 777-34-71,solomonvasylenko@example.net
Ейбоженко,Максим,Семенович,Чоловіча,05-09-1986,Дизайнер,селище Підгородне,"проспект Сергія Параджанова, буд. 63 кв. 949, Кам'янка (Черкаська область), 69053",+380 (86) 860-09-91,orkhyppryimak@example.com
Перебийніс,Станіслав,Єлисейович,Чоловіча,12-09-1991,Етнограф,місто Деражня,"парк Соляний 5-й, буд. 5 кв. 8, Кадіївка, 33197",+380 39 992 36 82,borys48@example.net
Юхименко,Болеслав,Андрійович,Чоловіча,15-10-1973,Електрик,місто Кам'янське,"узвіз Олега Андрійця, буд. 2 кв. 6, Канів, 49494",520-90-76,drozdenkobohuslav@example.org
Ільєнко,Роман,Віталійович,Чоловіча,07-10-1991,Футболіст,хутір Кадіївка,"узвіз Палубний, буд. 51 кв. 991, Новий Буг, 04116",+380 45 741-45-98,hennadii01@example.net
Радченко,Прохір,Аврелійович,Чоловіча,03-07-1942,Паблік рилейшнз,хутір Луцьк,"вулиця Любашівський, буд. 5, Рожище, 48652",+380 84 150 98 78,danylokylymnyk@example.com
Демʼянчук,Павло,Вікторович,Чоловіча,27-11-1956,Провізор,селище Дубно,"проспект Світлий, буд. 786, Олешки, 40919",+380 (32) 366-01-74,derkachsviatoslav@example.com
Худобʼяк,Йосип,Григорійович,Чоловіча,22-10-1996,Круп'є,селище Перевальськ,"сквер Аеродромна, буд. 375 кв. 44, Ворожба, 01842",+380 91 572-68-92,martynilienko@example.org
Шевченко,Леонід,Ааронович,Чоловіча,22-06-1969,Мірошник,місто Докучаєвськ,"шосе Черешнева, буд. 6 кв. 0, Кальміуське, 85969",610-66-79,mykytarebryk@example.com
Аверченко,Сергій,Богданович,Чоловіча,16-01-1969,Програміст,хутір Коломия,"площа Виноградна 2-га, буд. 63 кв. 51, Скалат, 22525",+380 99 184-26-47,kivanenko@example.com
Колесниченко,Зорян,Гордійович,Чоловіча,10-09-1945,Дипломат,село Вугледар,"узвіз Щіпний, буд. 428 кв. 782, Миронівка, 22450",664-92-20,lukian00@example.com
Шведченко,Макар,Петрович,Чоловіча,19-11-1993,Менеджер,село Кремінна,"площа Бодаревського, буд. 007, Кагарлик, 42458",087 047 47 93,dan98@example.org
Самойленко,Єлисей,Лукʼянович,Чоловіча,19-10-1952,Детектив,хутір Олександрівськ,"парк Проектований 4-й, буд. 62 кв. 301, Бунге, 50352",+380 96 089-94-90,lukashsemen@example.com
Філіпенко,Максим,Богданович,Чоловіча,29-12-1999,Скульптор,село Тетіїв,"узвіз Павла Зеленого, буд. 03, Сіверськ, 27547",+380 (81) 425-48-59,yromanets@example.org
Зарудний,Віталій,Георгійович,Чоловіча,16-11-2005,Ді-джей,село Полонне,"сквер Овідіопольський, буд. 37 кв. 1, Ужгород, 43446",+380 91 895 94 03,chalyioksana@example.com
Яремків,Амвросій,Євгенійович,Чоловіча,11-10-1941,Актор,село Тернопіль,"шосе Куликовський 2-й, буд. 820, Городок, 01878",+380 34 738 79 99,roksolana31@example.net
Яремчук,Богуслав,Артемович,Чоловіча,25-06-1999,Конструктор,село Броди,"набережна Жоліо-Кюрі, буд. 7, Тячів, 26761",277-87-37,hbabychenko@example.net
Бабиченко,Андрій,Аврелійович,Чоловіча,17-04-1951,Музикознавець,місто Березань,"узвіз Виноградна 1-ша, буд. 657 кв. 9, Богодухів, 30906",031 578 30 76,rostyslav82@example.org
Лесик,Ілля,Єлисейович,Чоловіча,25-12-1977,Підприємець,селище Хмільник,"шосе Костанді 3-й, буд. 8, Токмак, 18543",+380 84 534 53 96,larysa47@example.net
Вишивана,Франц,Альбертович,Чоловіча,01-08-1989,Круп'є,село Боярка,"шосе Гонсіоровського, буд. 009, Саки, 98065",+380 29 485-17-91,ctryhub@example.org
Верхола,Захар,Бориславович,Чоловіча,11-09-1998,Кур'єр,хутір Гадяч,"парк Студентський 3-й, буд. 794 кв. 3, Могилів-Подільський, 16396",+380 95 783-59-75,abramchukoleh@example.net
Габелко,Валерій,Русланович,Чоловіча,15-04-1961,Кінорежисер,місто Гола Пристань,"узвіз Мала Арнаутська, буд. 706 кв. 0, Харцизьк, 35465",612-97-23,khrystenkohennadii@example.net
Харченко,Азар,Веніяминович,Чоловіча,05-10-1983,Нотаріус,селище Галич,"набережна Академіка Сахарова, буд. 81 кв. 456, Оріхів, 71319",333-88-94,fastenkoandrii@example.com
Ґереґа,Борислав,Артемович,Чоловіча,20-02-1945,Випробувач,село Білогірськ,"сквер Крутоярська, буд. 87, Курахове, 58614",502 24 88,iaremkivokhrim@example.net
Килимник,Семен,Геннадійович,Чоловіча,29-08-1975,Єгер,хутір Сквира,"площа Садова, буд. 891 кв. 05, Овруч, 77354",+380 97 208-88-42,boryslavvdovenko@example.com
Царенко,Пилип,Миронович,Чоловіча,07-03-1998,Літературознавець,селище Хутір-Михайлівський,"набережна 19-та Лінія, буд. 192 кв. 03, Арциз, 92557",+380 (77) 557-16-55,kyrylo23@example.org
Андрощук,Олег,Захарович,Чоловіча,12-08-1983,Кінокритик,хутір Чортків,"парк Василя Кандинського 4-й, буд. 33, Іловайськ, 27311",+380 (57) 643-95-14,orynaholyk@example.org
Бараник,Азар,Романович,Чоловіча,04-01-1987,Ювелір,селище Вовчанськ,"площа Проектований 3-й, буд. 97, Самбір, 47702",+380 (62) 491-90-16,pkalenychenko@example.net
Романчук,Богуслав,Миколайович,Чоловіча,04-02-2007,Графік,хутір Мелітополь,"провулок Яблунева, буд. 123 кв. 560, Олешки, 69021",+380 94 883-09-02,spavlenko@example.net
Забіла,Ігнат,Мартинович,Чоловіча,13-09-1992,Хімік,село Судак,"площа Кримська, буд. 99 кв. 79, Буринь, 39475",+380 (82) 359-43-37,avrelii67@example.org
Артим,Адам,Сергійович,Чоловіча,04-11-1968,Мистецтвознавець,місто Ковель,"шосе Пересипська 10-та, буд. 9 кв. 8, Рудки, 93124",+380 70 349-00-24,aradchenko@example.net
Чаленко,Олекса,Зорянович,Чоловіча,16-08-1979,Стропальник,село Болехів,"набережна Спаський, буд. 208 кв. 1, Хрестівка, 45080",+380 (40) 641-24-45,terezaverkhola@example.org
Мірошниченко,Мирослав,Георгійович,Чоловіча,25-12-1989,Детектив,селище Дергачі,"шосе Закарпатська, буд. 08 кв. 2, Саки, 08985",061 059 92 30,solomiia42@example.org
Зінкевич,Руслан,Ігорович,Чоловіча,24-03-1955,Електромонтер,селище Чернівці,"парк Водопровідна, буд. 9 кв. 14, Нове Давидково, 84624",+380 11 949 34 13,irena16@example.net
Охріменко,Єфрем,Ігорович,Чоловіча,07-06-1997,Штукатур,селище Антрацит,"парк Князівська, буд. 170, Українськ, 20855",+380 31 952 71 11,ihor25@example.net
Бараник,Валерій,Лукʼянович,Чоловіча,16-07-1954,Ґрунтознавець,хутір Світловодськ,"вулиця Академіка Богатського, буд. 3, Сміла, 21793",048 617-95-19,darynavyshniak@example.net
Семенченко,Віталій,Мирославович,Чоловіча,09-04-1950,Скульптор,хутір Мена,"вулиця Біржова, буд. 123 кв. 8, Шахтарськ, 86595",900 11 74,nshyian@example.org
Цимбал,Богуслав,Яремович,Чоловіча,14-08-2000,Гірник,селище Кіцмань,"набережна Митракова, буд. 31, Олександрія, 28747",+380 (39) 568-43-57,nsuprunenko@example.org
Швачко,Венедикт,Павлович,Чоловіча,30-06-1993,Стоматолог,селище Канів,"площа Кавунова, буд. 448 кв. 2, Жданівка, 97867",129 15 45,jskyrda@example.net
Слюсар,Назар,Болеславович,Чоловіча,13-06-1986,Євнух,селище Сімферополь,"вулиця Прохоровський, буд. 24, Олександрія, 73971",068 819-85-68,kostiantyn75@example.net
Усик,Ігор,Петрович,Чоловіча,14-09-1969,Науковець,місто Олександрівськ,"шосе Грузовий, буд. 547, Лисичанськ, 95421",+380 34 782-95-50,ihnat48@example.org
Черінько,Валерій,Охрімович,Чоловіча,10-04-1964,Режисер,місто Жидачів,"узвіз Нова, буд. 588, Попасна, 33064",+380 43 226-15-96,iustynaovcharenko@example.org
Вовк,Герман,Бориславович,Чоловіча,05-07-1961,Кушнір,селище Мелітополь,"парк 1-ша Лінія 6-й ст. Люстдорфської дороги, буд. 911 кв. 44, Старокостянтинів, 02799",215-19-27,zoriankalchenko@example.com
Зінкевич,Орест,Йосипович,Чоловіча,26-03-1951,Соціолог,селище Лиман,"шосе Панаса Саксаганського, буд. 05, Вознесенськ, 24171",588 29 70,vasylechkolevko@example.org
Килимник,Дмитро,Ааронович,Чоловіча,22-11-1992,Каскадер,село Сквира,"площа Нечипуренка, буд. 613 кв. 31, Зеленодольськ, 71077",+380 90 328-33-76,volodymyra03@example.org
Єременко,Тимофій,Русланович,Чоловіча,27-10-2006,Астрофізик,селище Молочанськ,"набережна Бузкова, буд. 466, Слов'янськ, 33448",+380 (23) 838-63-97,demian65@example.net
Чуприна,Герман,Миронович,Чоловіча,07-06-1992,Локсмайстер,село Попасна,"вулиця Кузнечна, буд. 386, Кіцмань, 11310",+380 59 557 96 01,tytarenkodmytro@example.net
Захарченко,Микита,Олександрович,Чоловіча,18-04-1972,Геофізик,хутір Рівне,"шосе Аграрна, буд. 97 кв. 623, Гадяч, 62314",+380 (99) 671-58-14,kzabila@example.org
Бабиченко,Августин,Трохимович,Чоловіча,26-07-1977,Мистецтвознавець,хутір Волочиськ,"набережна Рівний, буд. 717 кв. 3, Сквира, 26070",+380 05 028 16 47,fbalaban@example.org
Єресько,Владислав,Богданович,Чоловіча,30-08-1988,Петрограф,село Залізне,"набережна Обільний 2-й, буд. 88 кв. 6, Мерефа, 46333",077 312 04 81,kalchenkokamilla@example.net
Голик,Валентин,Євгенійович,Чоловіча,12-01-1965,Швачка,місто Заставна,"парк Василя Симоненка, буд. 93 кв. 313, Покров, 08845",043 691 80 10,iaremasirchenko@example.com
Василашко,Федір,Соломонович,Чоловіча,21-11-1941,Музикознавець,селище Люботин,"площа Лінія 48-ма, буд. 646 кв. 4, Нікополь, 73867",+380 51 229-59-44,iaroslava31@example.com
Аронець,Мартин,Мирославович,Чоловіча,10-04-1999,Модель,місто Бучач,"сквер Середня, буд. 5 кв. 4, Белз, 12000",+380 (72) 348-67-34,bohdanna63@example.net
Засенко,Миколай,Ярославович,Чоловіча,02-08-1971,Геолог,місто Рогатин,"узвіз Чорноморський 7-й, буд. 233 кв. 799, Борзна, 64931",+380 (40) 270-71-50,hennadii14@example.net
Дрозденко,Олесь,Омелянович,Чоловіча,28-08-1979,Складальник,село Білогірськ,"парк Килимовий, буд. 2, Угнів, 98324",+380 (27) 572-11-30,boleslav77@example.com
Єрченко,Гордій,Русланович,Чоловіча,05-08-1954,Кушнір,місто Федорівка,"шосе Вершинна, буд. 824, Тернівка, 16695",401 90 46,bohodarzinchenko@example.net
Чайка,Тимофій,Ігнатович,Чоловіча,05-04-1946,Фізик,місто Сторожинець,"сквер Байдарочний, буд. 5, Вуглегірськ, 10754",018 738-49-87,brubets@example.net
Алексюк,Ігнат,Тарасович,Чоловіча,03-04-1975,Парфюмер,селище Мар'їнка,"вулиця Слави, буд. 717 кв. 0, Овруч, 62746",+380 68 222-87-40,larysa18@example.com
Фурс,Вадим,Аркадійович,Чоловіча,30-06-1977,Реабілітолог,село Гірське,"площа Миколи Вороного, буд. 6 кв. 915, Хуст, 31533",+380 43 365-62-60,ievhen40@example.org
Рябовіл,Роман,Захарович,Чоловіча,07-12-1956,Пекар,селище Вишневе,"провулок Коцюбинського, буд. 88 кв. 21, Зіньків, 17682",+380 43 716-11-40,qbazavluchenko@example.net
Атрощенко,Демʼян,Альбертович,Чоловіча,06-03-2005,Кінорежисер,село Гайсин,"набережна Софіївська, буд. 33, Петрово-Красносілля, 93192",817-59-67,tsybulenkospas@example.org
Цимбал,Веніямин,Євгенійович,Чоловіча,18-09-1973,Кінорежисер,селище Хрустальний,"площа Семена Яхненка, буд. 4, Суми, 21641",+380 74 082-35-23,klavdiiavasylashko@example.com
Сич,Пантелеймон,Хомович,Чоловіча,14-07-1955,Дизайнер,селище Шостка,"набережна Тараса Кузьміна, буд. 29 кв. 0, Красногорівка, 80034",+380 17 007-92-33,franchukiustym@example.org
Аронець,Омелян,Яковович,Чоловіча,23-11-1956,Бухгалтер,хутір Ковель,"набережна Гоголя, буд. 6, Яготин, 86573",+380 (89) 005-14-14,demianvermenych@example.com
Власенко,Мирослав,Миколайович,Чоловіча,06-01-2008,Золотар,місто Боярка,"проспект Крутоярська, буд. 663 кв. 560, Малин, 35416",806 16 57,dhavrylets@example.net
Івасюк,Леон,Олегович,Чоловіча,10-03-1967,Доцент,селище Світловодськ,"узвіз Кощового отамана, буд. 4 кв. 2, Славута, 90033",184-63-48,mariiavlasiuk@example.com
Прокопович,Арсен,Тимофійович,Чоловіча,30-05-1992,Пекар,село Дубно,"проспект Дорбуду, буд. 75, Ясинувата, 63656",+380 93 519-69-98,tarasenkoieva@example.net
Цимбал,Тимофій,Миронович,Чоловіча,05-02-1998,Секретар,селище Соледар,"шосе Олега Андрійця, буд. 75, Берегове, 42810",+380 (11) 309-74-98,zlatoslava97@example.com
Цимбал,Геннадій,Вадимович,Чоловіча,01-07-1965,Доцент,місто Бережани,"набережна Давида Бурлюка, буд. 8, Кипуче, 42956",+380 70 709-23-94,piatseniuk@example.org
Шинкаренко,Орест,Юхимович,Чоловіча,22-01-1982,Бібліограф,хутір Ланівці,"площа Андрія Сови, буд. 72 кв. 84, Бар, 37175",+380 72 255 48 03,volodymyramasokha@example.net
Абрагамовська,Спас,Симонович,Чоловіча,08-03-1942,Історик,село Вознесенівка,"шосе Міцкевича, буд. 6 кв. 860, Вишгород, 02710",026 762 84 98,babenkoanzhela@example.com
Рева,Мирон,Назарович,Чоловіча,15-03-1959,Дипломат,селище Снігурівка,"вулиця Хімічна, буд. 0 кв. 04, Боково-Хрустальне, 01507",054 583-41-93,serhii37@example.net
Абрамчук,Ярема,Миколайович,Чоловіча,21-07-1941,Бізнесмен,селище Христинівка,"узвіз Кипарисний 2-й, буд. 109 кв. 860, Новоград-Волинський, 76029",017 77 52,havrylovdovenko@example.com
Франко,Леонід,Трохимович,Чоловіча,02-09-1985,Намотувальник,хутір Сторожинець,"узвіз Трудовий, буд. 35 кв. 287, Зугрес, 75379",096 298-19-85,tereza46@example.com
Чубай,Кирило,Демʼянович,Чоловіча,16-06-1975,Композитор,село Рудки,"парк Братів Малакових, буд. 3 кв. 17, Новодружеськ, 31754",486-40-90,mykhailozarudnyi@example.org
Журба,Симон,Сергійович,Чоловіча,08-04-1939,Стропальник,село Харків,"шосе Штурманська, буд. 32, Гайсин, 11752",+380 (10) 363-81-34,sviatoslavakhomyk@example.net
Ґжицький,Іван,Несторович,Чоловіча,01-11-1999,Ріелтор,селище Христинівка,"площа Рішельєвська, буд. 83 кв. 067, Севастополь, 43095",+380 48 202-68-11,bohuslava64@example.net
Охримович,Нестор,Миколайович,Чоловіча,13-04-1942,Прокурор,село Перещепине,"провулок Джерельна, буд. 5, Шумськ, 62921",654 83 06,ustymdrobakha@example.org
Рябченко,Онисим,Антонович,Чоловіча,24-07-1941,Кухар,селище Шаргород,"проспект Зелений, буд. 044 кв. 668, Дебальцеве, 84093",025 365 94 59,ihordanko@example.com
Вертипорох,Гордій,Кирилович,Чоловіча,26-12-1997,Кінолог,хутір Джанкой,"провулок Листяний, буд. 70, Кремінна, 32374",090 822-65-47,ahuzenko@example.net
Захаренко,Гліб,Макарович,Чоловіча,11-10-1941,Акушер,селище Теплодар,"шосе Балтський 4-й, буд. 05, Гірник, 05241",010-95-06,viktoriia06@example.net
Башполченко,Ярема,Соломонович,Чоловіча,26-10-2002,Головний меркшейдер,селище Корюківка,"сквер Дюківський сад, буд. 60 кв. 24, Світловодськ, 34347",+380 03 455 06 46,albertumanets@example.org
Шахрай,Яків,Едуардович,Чоловіча,18-07-1961,Математик,село Кам'янка-Дніпровська,"вулиця Любашівський, буд. 7, Таврійськ, 55366",569-03-11,tetiana62@example.com
Ляшко,Панас,Зиновійович,Чоловіча,24-11-1991,Письменник,село Красноперекопськ,"узвіз Миколи Боровського, буд. 9 кв. 877, Краматорськ, 54717",+380 (44) 802-34-05,uarkhymovych@example.com
Жарко,Борислав,Валентинович,Чоловіча,22-05-1991,Астроном,селище Монастирище,"сквер Кінбурнський, буд. 903 кв. 282, Золотоноша, 05394",+380 92 988-81-67,vasylenkokyrylo@example.org
Рудик,Аркадій,Аркадійович,Чоловіча,15-03-2008,Кінолог,хутір Умань,"площа Іспанський, буд. 67, Підгайці, 19285",598-61-32,vladyslav11@example.com
Чорновіл,Пармен,Сергійович,Чоловіча,29-07-1997,Футболіст,село Феодосія,"площа Кузнечна, буд. 73 кв. 83, Старобільськ, 31535",+380 25 532 42 13,vasylevychvira@example.net
Андрійович,Ярослав,Богданович,Чоловіча,25-06-1955,Перекладач,село Корюківка,"сквер Колективний, буд. 832, Амвросіївка, 93329",+380 35 583-80-10,usykklavdiia@example.org
Гупало,Антон,Амвросійович,Чоловіча,19-03-1984,Бібліограф,місто Єнакієве,"сквер Лінія 42-га, буд. 9 кв. 128, Миколаїв, 85037",831 40 59,zarkhypenko@example.org
Цимбалюк,Петро,Давидович,Чоловіча,23-06-2002,Краєзнавець,хутір Олександрівськ,"узвіз Естафетна, буд. 693, Мерефа, 17752",269-63-15,demydiurchuk@example.net
Шухевич,Давид,Єлисейович,Чоловіча,23-12-1973,Єгер,селище Чернігів,"набережна Велика Арнаутська, буд. 39, Калинівка, 73170",585-34-58,bevzenkoviktor@example.org
Зінченко,Гаврило,Панасович,Чоловіча,24-04-1975,Математик,хутір Хотин,"набережна Стражеска Миколи, буд. 06, Татарбунари, 65798",072 045-46-49,taraslavrenko@example.org
Кириленко,Леонтій,Альбертович,Чоловіча,06-06-1985,Бібліограф,місто Середина-Буда,"сквер Миколаївська дорога, буд. 987, Теребовля, 59470",+380 16 241-08-63,zisaievych@example.org
Шамрай,Юстим,Орхипович,Чоловіча,31-08-1947,Дерун,селище Часів Яр,"сквер 10-та Лінія 6-й ст. Люстдорфської дороги, буд. 83, Миргород, 98857",+380 04 652-81-69,jgzhytskyi@example.org
Ващенко,Вʼячеслав,Гордійович,Чоловіча,17-07-1979,Ветеринар,село Лебедин,"сквер Майка Йогансена, буд. 1, Авдіївка, 74955",+380 71 364 10 90,pylyp30@example.com
Гаврилишин,Данило,Богуславович,Чоловіча,09-10-1962,Режисер,село Сколе,"вулиця Зоряна, буд. 1, Лебедин, 06877",532 35 68,kozakliza@example.com
Авраменко,Мирон,Давидович,Чоловіча,09-11-1964,Кур'єр,місто Хмільник,"узвіз Квітнева, буд. 625 кв. 03, Гайворон, 39057",036 96 79,volodymyra91@example.com
Москаль,Соломон,Григорійович,Чоловіча,03-06-1952,Громадський діяч,селище Умань,"вулиця Наявний 7-й, буд. 8, Гірник, 78517",+380 77 749-81-38,aaronandroshchuk@example.org
Тимчук,Аарон,Варфоломійович,Чоловіча,29-10-1992,Детектив,село Світловодськ,"парк Бреуса Якова, буд. 197, Вовчанськ, 44131",085 676-88-89,ielysaveta17@example.com
Шило,Богуслав,Венедиктович,Чоловіча,24-09-1946,Електромонтажник,місто Почаїв,"узвіз Абрикосовий, буд. 09 кв. 782, Хоростків, 34688",001 691 65 03,bandurkaiustym@example.com
Валенко,Леопольд,Пилипович,Чоловіча,05-02-1978,Піаніст,місто Ірпінь,"вулиця Балтський 1-й, буд. 77 кв. 750, Христинівка, 82612",+380 (23) 555-00-93,ibaturynets@example.com
Філіпенко,Олекса,Прохорович,Чоловіча,23-01-1950,Реставратор,хутір Білгород-Дністровський,"площа Василя Капніста, буд. 691 кв. 90, Білгород-Дністровський, 57113",049 986-64-94,opanas07@example.com
Влох,Аарон,Ааронович,Чоловіча,18-07-1951,Ювелір,селище Миколаївка,"провулок Михайла Грушевського, буд. 01 кв. 303, Сарни, 63388",+380 72 303-28-58,nadiiadubas@example.org
Парасюк,Тимофій,Сергійович,Чоловіча,09-10-1977,Реставратор,село Калинівка,"провулок Лінія 50-та, буд. 597, Бердянськ, 45829",499 75 52,ckomar@example.org
Батюк,Пилип,Валерійович,Чоловіча,16-08-1977,Промисловець,село Березань,"узвіз Університетський, буд. 05 кв. 44, Нове Давидково, 85247",+380 48 312-93-75,adasahal@example.net
Юрченко,Макар,Олександрович,Чоловіча,27-10-1997,Електрик,село Новояворівськ,"узвіз Цимлянська, буд. 14, Збараж, 82144",+380 (40) 458-72-34,yhavriushenko@example.net
Саєнко,Пармен,Едуардович,Чоловіча,26-12-1999,Пілот,місто Харцизьк,"вулиця Овідіопольський, буд. 278 кв. 836, Свалява, 82621",086 055 28 27,babiakvarvara@example.net
Байрак,Августин,Арсенович,Чоловіча,18-08-1982,Музикант,хутір Нововолинськ,"вулиця Новоберегова, буд. 595, Галич, 87127",+380 64 057 58 08,bohuslava58@example.com
Малик,Вʼячеслав,Аврелійович,Чоловіча,01-12-1958,Геолог,селище Ірпінь,"провулок Чернігівська, буд. 169, Павлоград, 82862",615-98-81,maksymzhuk@example.com
